id,cruise,day,time,depth,prs,lat,lon,temp,sal,cs137_f,cs137_f_err,cs134_f,cs134_f_err,cs137_s,cs137_s_err,cs134_s,cs134_s_err,source
RA5,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,13:45,surf,1,37.42,141.14,,33.4817, 2.1 , 0.1 , bd ,, 2.0 , 0.1 , bd ,,"Ken Buesseler, unpub."
NP2,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,14:30,surf,1,37.42,141.10,,33.4357, 2.8 , 0.2 , 0.9 , 0.2 , 2.7 , 0.1 , 0.5 , 0.1 ,"Ken Buesseler, unpub."
NP2,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,14:45,surf,1,37.42,141.10,,, 2.5 , 0.1 , 0.7 , 0.1 , 2.3 , 0.1 , 0.3 , 0.1 ,"Ken Buesseler, unpub."
NP2 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,15:00,5.6,5.60,37.42,141.10,23.4642,33.4425, 1.8 , 0.1 , 1.1 , 0.4 , 1.7 , 0.1 , 0.2 , 0.1 ,"Ken Buesseler, unpub."
NP2 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,15:00,15.0,15.10,37.42,141.10,23.0556,33.5117, 1.7 , 0.1 , bd ,, 1.6 , 0.1 , bd ,,"Ken Buesseler, unpub."
NP2 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,15:00,23.4,23.61,37.42,141.10,22.5631,33.5637, 1.7 , 0.1 , bd ,, 1.6 , 0.1 , bd ,,"Ken Buesseler, unpub."
RA6,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,21:50,surf,1,37.42,141.08,,33.2380, 10.0 , 0.3 , 9.1 , 0.5 , 9.5 , 0.3 , 4.0 , 0.2 ,"Ken Buesseler, unpub."
NP0,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,22:00,surf,1,37.42,141.05,,32.3081, 35.7 , 0.8 , 34.7 , 0.9 , 33.8 , 0.8 , 15.4 , 0.4 ,"Ken Buesseler, unpub."
NP0,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,22:15,surf,1,37.42,141.05,,, 34.0 , 0.8 , 30.4 , 0.8 , 32.2 , 0.7 , 13.5 , 0.4 ,"Ken Buesseler, unpub."
NP0 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,22:30,1.7,1.74,37.42,141.05,23.1808,31.3945, 22.0 , 0.6 , 20.0 , 0.7 , 20.8 , 0.5 , 8.8 , 0.3 ,"Ken Buesseler, unpub."
NP0 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,22:30,5.0,5.06,37.42,141.05,23.2388,32.9917, 16.5 , 0.4 , 14.5 , 0.6 , 15.6 , 0.4 , 6.4 , 0.3 ,"Ken Buesseler, unpub."
NP0 ctd,Kaisan Kaiyu Maru KK-13-5,10-Sep-13,22:30,9.9,10.00,37.42,141.05,22.6601,33.3781, 9.3 , 0.3 , 7.1 , 0.4 , 8.8 , 0.3 , 3.2 , 0.2 ,"Ken Buesseler, unpub."
NP0,Kaisan Kaiyu Maru KK-13-5,11-Sep-13,2:30,surf,1,37.42,141.05,,32.0959, 130.8 , 2.6 , 120.7 , 2.5 , 123.7 , 2.5 , 53.3 , 1.1 ,"Ken Buesseler, unpub."
NPE1,Kaisan Kaiyu Maru KK-13-5,11-Sep-13,5:00,surf,1,37.33,141.08,,33.3119, 7.7 , 0.2 , 6.1 , 0.4 , 7.3 , 0.2 , 2.7 , 0.2 ,"Ken Buesseler, unpub."
NPE2,Kaisan Kaiyu Maru KK-13-5,11-Sep-13,11:45,surf,1,37.50,141.08,,30.5794, 9.6 , 0.3 , 8.1 , 0.5 , 9.1 , 0.3 , 3.6 , 0.2 ,"Ken Buesseler, unpub."
N01,Kaisan Kaiyu Maru KK-13-5,11-Sep-13,20:00,surf,1,37.50,141.50,,33.5091, 2.0 , 0.1 , bd ,, 1.9 , 0.1 , bd ,,"Ken Buesseler, unpub."
111,KOK 11-08,6/6/11,22:04,20,19.6,33.995,146.987,20.410,34.713,3.3,0.2,2.4,0.3,3.3,0.2,2.2,0.2,Buesseler et al. 2012 PNAS
112,KOK 11-08,6/6/11,22:04,50,49.5,33.995,146.987,20.166,34.715,3.0,0.2,bd,,3.0,0.2,bd,,Buesseler et al. 2012 PNAS
113,KOK 11-08,6/6/11,22:04,100,102.1,33.995,146.987,18.706,34.715,9.2,0.3,11.0,0.7,9.2,0.3,10.9,0.7,Buesseler et al. 2012 PNAS
115,KOK 11-08,6/6/11,22:04,447,450.8,33.995,146.987,7.634,33.920,14,0.7,11.0,0.7,14.0,0.7,10.9,0.7,Buesseler et al. 2012 PNAS
116,KOK 11-08,6/6/11,22:04,575,569.7,33.995,146.987,3.568,33.648,1.1,0.3,bd,,1.1,0.3,bd,,Buesseler et al. 2012 PNAS
122,KOK 11-08,6/7/11,6:35,surf,1,34.498,147.000,20.972,34.691,2.6,0.6,1.7,0.5,2.6,0.6,1.4,0.4,Buesseler et al. 2012 PNAS
144,KOK 11-08,6/7/11,14:48,20,21.6,34.971,147.022,20.714,34.706,1.7,0.3,bd,,1.7,0.3,bd,,Buesseler et al. 2012 PNAS
145,KOK 11-08,6/7/11,14:48,50,51.2,34.971,147.022,19.144,34.713,1.8,0.2,bd,,1.8,0.2,bd,,Buesseler et al. 2012 PNAS
146,KOK 11-08,6/7/11,14:48,100,100.3,34.971,147.022,18.406,34.755,2.1,0.2,bd,,2.1,0.2,bd,,Buesseler et al. 2012 PNAS
147,KOK 11-08,6/7/11,14:48,200,199.7,34.971,147.022,16.332,34.657,2.5,0.2,bd,,2.4,0.2,bd,,Buesseler et al. 2012 PNAS
148,KOK 11-08,6/7/11,20:10,400,394,34.971,147.022,7.613,34.040,8.5,0.9,5.5,0.9,8.5,0.9,5.5,0.9,Buesseler et al. 2012 PNAS
149,KOK 11-08,6/7/11,20:10,500,516.2,34.971,147.022,6.209,34.152,2.0,0.3,bd,,2.0,0.3,bd,,Buesseler et al. 2012 PNAS
150,KOK 11-08,6/7/11,20:10,750,751.7,34.971,147.022,4.335,34.287,0.5,0.2,bd,,0.5,0.2,bd,,Buesseler et al. 2012 PNAS
151,KOK 11-08,6/7/11,20:10,1000,971.6,34.971,147.022,3.239,34.351,0.3,0.1,bd,,0.3,0.1,bd,,Buesseler et al. 2012 PNAS
167,KOK 11-08,6/8/11,6:45,surf,1,35.502,146.999,18.887,34.335,317,10,315,9,314.9,9.7,286.2,7.8,Buesseler et al. 2012 PNAS
173,KOK 11-08,6/8/11,12:20,surf,1,35.993,147.016,19.470,34.541,25,1,23,1,25.1,0.7,21.2,0.6,Buesseler et al. 2012 PNAS
174,KOK 11-08,6/8/11,15:53,20,21.1,35.993,147.016,18.231,34.672,1.9,0.3,bd,,1.9,0.3,bd,,Buesseler et al. 2012 PNAS
175,KOK 11-08,6/8/11,15:53,50,52.1,35.993,147.016,15.310,34.578,52,1,51,1,51.2,1.2,42.6,0.8,Buesseler et al. 2012 PNAS
176,KOK 11-08,6/8/11,15:53,100,103,35.993,147.016,12.053,34.414,2.9,0.3,1.2,0.2,2.8,0.3,1.0,0.2,Buesseler et al. 2012 PNAS
178,KOK 11-08,6/8/11,15:53,160,160,35.993,147.016,8.700,34.061,15,0,14.1,,15.1,0.4,11.8,0.3,Buesseler et al. 2012 PNAS
185,KOK 11-08,6/8/11,20:09,20,20,36.500,147.011,15.948,34.576,5.7,0.3,4.2,0.4,5.6,0.3,3.9,0.3,Buesseler et al. 2012 PNAS
186,KOK 11-08,6/8/11,20:09,50,50.6,36.500,147.011,12.808,34.469,2.8,,bd,,2.8,0.3,bd,,Buesseler et al. 2012 PNAS
187,KOK 11-08,6/8/11,20:09,100,105.1,36.500,147.011,10.496,34.333,2.0,,bd,,2.0,0.3,bd,,Buesseler et al. 2012 PNAS
188,KOK 11-08,6/8/11,20:09,200,183.2,36.500,147.011,5.705,33.717,13,0.9,10.3,0.8,12.4,0.9,10.2,0.8,Buesseler et al. 2012 PNAS
198,KOK 11-08,6/9/11,0:38,surf,1,36.991,147.000,16.124,34.173,202,5,203,4,200.5,5.2,184.2,3.9,Buesseler et al. 2012 PNAS
194,KOK 11-08,6/9/11,0:45,20,21.2,37.003,147.000,15.530,34.175,180,4,185,2,178.0,3.8,157.2,2.0,Buesseler et al. 2012 PNAS
195,KOK 11-08,6/9/11,0:45,50,50.7,37.003,147.000,14.000,34.217,204,6,206,5,201.4,5.8,174.5,4.5,Buesseler et al. 2012 PNAS
196,KOK 11-08,6/9/11,0:45,100,102.7,37.003,147.000,10.583,34.294,24,1,22,1,23.9,1.3,18.2,1.3,Buesseler et al. 2012 PNAS
204,KOK 11-08,6/9/11,0:45,surf,1,37.502,147.000,17.158,34.312,336,8,334,7,334.2,8.3,302.4,6.0,Buesseler et al. 2012 PNAS
205,KOK 11-08,6/9/11,13:35,surf,1,37.984,147.021,17.064,34.219,71,2,70,2,71.0,2.0,63.9,1.6,Buesseler et al. 2012 PNAS
211,KOK 11-08,6/9/11,13:25,20,19.3,37.984,147.021,10.847,33.583,29,1,29,1,28.6,0.7,25.8,0.5,Buesseler et al. 2012 PNAS
212,KOK 11-08,6/9/11,13:25,50,49.2,37.984,147.021,9.228,33.561,27,1,25,1,26.8,1.0,22.3,0.8,Buesseler et al. 2012 PNAS
213,KOK 11-08,6/9/11,13:25,100,101.1,37.984,147.021,8.266,33.915,37,1,35,1,36.3,0.8,30.4,0.4,Buesseler et al. 2012 PNAS
215,KOK 11-08,6/9/11,13:25,300,299.5,37.984,147.021,5.680,33.689,1.0,0.1,bd,,1.0,0.1,bd,,Buesseler et al. 2012 PNAS
216,KOK 11-08,6/9/11,19:28,surf,1,37.998,146.308,16.514,33.961,204.7,5.3,199.2,4.2,203.4,5.2,180.8,3.8,Buesseler et al. 2012 PNAS
217,KOK 11-08,6/10/11,0:02,surf,1,38.000,145.317,17.503,34.293,92.3,3.8,90.7,3.8,91.7,3.8,82.2,3.4,Buesseler et al. 2012 PNAS
218,KOK 11-08,6/10/11,4:11,surf,1,38.001,144.417,15.284,33.442,99.9,3.5,104.2,3.4,99.2,3.5,94.1,3.1,Buesseler et al. 2012 PNAS
219,KOK 11-08,6/10/11,6:23,surf,1,37.998,143.996,15.096,33.525,166.2,5.2,167.3,4.8,165.0,5.2,151.0,4.3,Buesseler et al. 2012 PNAS
225,KOK 11-08,6/10/11,6:59,20,19.9,37.998,143.996,12.272,33.897,61.9,1.7,60.9,1.5,61.2,1.7,51.9,1.3,Buesseler et al. 2012 PNAS
226,KOK 11-08,6/10/11,6:59,50,50.1,37.998,143.996,11.578,34.047,57.0,2.5,57.4,2.7,56.3,2.5,49.0,2.3,Buesseler et al. 2012 PNAS
227,KOK 11-08,6/10/11,6:59,100,101.8,37.998,143.996,8.882,33.955,31.9,1.2,30.9,1.3,31.5,1.2,26.3,1.1,Buesseler et al. 2012 PNAS
229,KOK 11-08,6/10/11,13:30,surf,1,37.511,144.003,15.947,33.909,99.5,3.1,104.1,2.9,98.8,3.1,94.0,2.6,Buesseler et al. 2012 PNAS
235,KOK 11-08,6/10/11,18:22,surf,1,36.996,144.004,19.006,34.350,89.1,2.0,85.8,1.4,88.5,2.0,77.4,1.2,Buesseler et al. 2012 PNAS
241,KOK 11-08,6/10/11,19:55,20,19.6,36.996,144.004,11.713,33.874,20.9,0.5,19.8,0.5,20.7,0.5,17.1,0.4,Buesseler et al. 2012 PNAS
242,KOK 11-08,6/10/11,19:55,50,49.9,36.996,144.004,10.846,33.864,123.3,4.5,121.8,4.4,122.1,4.5,104.8,3.8,Buesseler et al. 2012 PNAS
243,KOK 11-08,6/10/11,19:55,100,100.5,36.996,144.004,9.176,34.015,23.8,0.5,21.6,0.3,23.6,0.5,18.6,0.3,Buesseler et al. 2012 PNAS
255,KOK 11-08,6/11/11,0:12,20,23.9,36.487,144.024,21.126,34.466,2.6,0.2,1.2,0.1,2.6,0.2,1.0,0.1,Buesseler et al. 2012 PNAS
256,KOK 11-08,6/11/11,0:12,50,53.1,36.487,144.024,19.504,34.740,2.1,0.3,bd,,2.0,0.3,bd,,Buesseler et al. 2012 PNAS
257,KOK 11-08,6/11/11,0:12,100,98.3,36.487,144.024,17.608,34.595,3.4,0.4,1.6,0.4,3.4,0.3,1.4,0.3,Buesseler et al. 2012 PNAS
258,KOK 11-08,6/11/11,0:12,200,205.2,36.487,144.024,13.676,34.504,1.6,0.1,bd,,1.6,0.1,bd,,Buesseler et al. 2012 PNAS
251,KOK 11-08,6/11/11,0:12,430,433.9,36.487,144.024,4.184,33.752,1.4,0.2,bd,,1.4,0.2,bd,,Buesseler et al. 2012 PNAS
252,KOK 11-08,6/11/11,0:12,500,503.1,36.487,144.024,3.917,33.851,1.2,0.1,bd,0.0,1.2,0.1,bd,,Buesseler et al. 2012 PNAS
253,KOK 11-08,6/11/11,0:12,720,723.9,36.487,144.024,3.864,34.207,0.7,0.1,bd,0.0,0.7,0.1,bd,,Buesseler et al. 2012 PNAS
245,KOK 11-08,6/11/11,5:47,surf,1,35.996,144.006,21.128,34.733,2.3,0.4,1.1,0.6,2.3,0.4,1.0,0.5,Buesseler et al. 2012 PNAS
262,KOK 11-08,6/11/11,5:44,20,20.9,35.996,144.006,21.152,34.733,2.1,0.6,bd,,2.1,0.6,bd,,Buesseler et al. 2012 PNAS
260,KOK 11-08,6/11/11,5:44,50,51.7,35.996,144.006,20.631,34.723,2.8,0.4,1.2,0.2,2.8,0.4,1.0,0.2,Buesseler et al. 2012 PNAS
261,KOK 11-08,6/11/11,5:44,100,100,35.996,144.006,19.292,34.759,2.4,0.3,bd,,2.4,0.3,bd,,Buesseler et al. 2012 PNAS
267,KOK 11-08,6/12/11,4:56,surf,1,36.504,143.010,21.114,34.498,3.3,0.2,1.5,0.2,3.3,0.2,1.4,0.2,Buesseler et al. 2012 PNAS
274,KOK 11-08,6/12/11,4:56,20,19.5,36.504,143.010,20.962,34.511,9.1,0.6,7.3,0.6,9.0,0.6,6.5,0.5,Buesseler et al. 2012 PNAS
275,KOK 11-08,6/12/11,4:56,50,49.8,36.504,143.010,19.079,34.615,2.3,0.3,bd,,2.3,0.3,bd,,Buesseler et al. 2012 PNAS
276,KOK 11-08,6/12/11,4:56,100,105.6,36.504,143.010,17.161,34.620,1.9,0.4,bd,,1.8,0.3,bd,,Buesseler et al. 2012 PNAS
277,KOK 11-08,6/11/11,17:56,surf,1,35.566,143.949,21.144,34.333,2.0,0.2,bd,,2.0,0.2,bd,,Buesseler et al. 2012 PNAS
278,KOK 11-08,6/11/11,22:07,surf,1,35.936,143.725,21.257,34.487,2.0,0.2,bd,,2.0,0.2,bd,,Buesseler et al. 2012 PNAS
279,KOK 11-08,6/12/11,1:54,surf,1,36.288,143.358,21.845,34.293,1.8,0.3,bd,,1.8,0.3,bd,,Buesseler et al. 2012 PNAS
284,KOK 11-08,6/12/11,11:15,surf,1,36.999,143.000,18.978,34.285,204,5,204,3,202.8,4.7,184.2,3.0,Buesseler et al. 2012 PNAS
290,KOK 11-08,6/12/11,16:35,surf,1,37.505,142.995,18.055,33.844,236,5,244,4,234.1,5.4,220.1,3.5,Buesseler et al. 2012 PNAS
296,KOK 11-08,6/12/11,16:15,20,21.6,37.505,142.995,14.961,34.228,289,6,287,4,286.1,6.3,249.9,3.7,Buesseler et al. 2012 PNAS
297,KOK 11-08,6/12/11,16:15,50,53.5,37.505,142.995,10.052,33.986,190,6,186,5,188.1,5.6,162.3,4.3,Buesseler et al. 2012 PNAS
298,KOK 11-08,6/12/11,16:15,100,103.4,37.505,142.995,9.399,34.247,19,1,18,1,18.7,0.6,15.3,0.5,Buesseler et al. 2012 PNAS
299,KOK 11-08,6/12/11,16:15,200,200.2,37.505,142.995,5.896,33.803,3.0,0.3,1.8,0.3,3.0,0.3,1.6,0.3,Buesseler et al. 2012 PNAS
304,KOK 11-08,6/12/11,21:35,500,502.9,37.505,142.995,4.125,34.118,2.1,0.2,1.5,0.3,2.1,0.2,1.2,0.2,Buesseler et al. 2012 PNAS
305,KOK 11-08,6/12/11,21:35,750,754.9,37.505,142.995,3.470,34.303,10.9,0.6,9.9,0.6,10.8,0.6,8.1,0.5,Buesseler et al. 2012 PNAS
306,KOK 11-08,6/12/11,21:35,1000,1004.2,37.505,142.995,2.891,34.394,0.9,0.1,0.7,0.1,0.9,0.1,0.6,0.1,Buesseler et al. 2012 PNAS
333,KOK 11-08,6/13/11,3:50,surf,1,38.000,143.003,18.662,34.436,22,1,22,1,22.0,0.6,19.4,0.5,Buesseler et al. 2012 PNAS
339,KOK 11-08,6/13/11,10:35,surf,1,37.501,142.486,17.593,34.241,211,6,223,5,209.7,5.9,200.5,4.7,Buesseler et al. 2012 PNAS
360,KOK 11-08,6/13/11,9:50,20,22.4,37.501,142.486,14.880,34.210,252,6,247,4,249.3,5.6,215.9,3.2,Buesseler et al. 2012 PNAS
361,KOK 11-08,6/13/11,9:50,50,53.8,37.501,142.486,9.341,33.977,129,4,126,4,127.4,4.2,110.1,3.5,Buesseler et al. 2012 PNAS
362,KOK 11-08,6/13/11,9:50,100,101.9,37.501,142.486,6.465,33.686,51,2,47,1,50.6,1.5,41.0,1.2,Buesseler et al. 2012 PNAS
363,KOK 11-08,6/13/11,9:50,200,201.4,37.501,142.486,4.663,33.697,2.0,0.1,bd,,1.9,0.1,bd,,Buesseler et al. 2012 PNAS
368,KOK 11-08,6/13/11,17:42,400,399.7,37.501,142.486,4.591,34.111,2.2,0.3,1.2,0.5,2.1,0.3,1.0,0.4,Buesseler et al. 2012 PNAS
369,KOK 11-08,6/13/11,17:42,500,500.5,37.501,142.486,3.838,34.125,0.8,0.1,bd,,0.8,0.1,bd,,Buesseler et al. 2012 PNAS
370,KOK 11-08,6/13/11,17:42,750,750.4,37.501,142.486,3.310,34.318,0.9,0.3,bd,,0.9,0.3,bd,,Buesseler et al. 2012 PNAS
371,KOK 11-08,6/13/11,17:42,1000,998.8,37.501,142.486,2.843,34.419,1.0,0.2,bd,,1.0,0.2,bd,,Buesseler et al. 2012 PNAS
373,KOK 11-08,6/13/11,22:13,surf,1,38.000,142.501,18.375,34.279,211,6,216,5,209.8,5.8,194.1,4.5,Buesseler et al. 2012 PNAS
381,KOK 11-08,6/14/11,2:02,surf,1,37.767,142.261,17.400,33.564,388,8,396,5,384.6,8.3,352.2,4.7,Buesseler et al. 2012 PNAS
407,KOK 11-08,6/14/11,6:01,10,11.8,37.496,142.000,17.633,33.963,920,19,896,11,912.9,19.1,791.4,9.7,Buesseler et al. 2012 PNAS
408,KOK 11-08,6/14/11,6:01,20,21.2,37.496,142.000,17.140,34.016,993,23,972,16,984.2,22.6,858.7,13.8,Buesseler et al. 2012 PNAS
409,KOK 11-08,6/14/11,6:01,50,51.5,37.496,142.000,16.112,34.091,992,20,1000,11,983.0,19.9,880.7,9.3,Buesseler et al. 2012 PNAS
410,KOK 11-08,6/14/11,6:01,100,101.2,37.496,142.000,12.795,34.054,107,2,107,1,106.0,2.2,93.8,1.1,Buesseler et al. 2012 PNAS
415,KOK 11-08,6/14/11,12:03,170,165.1,37.496,142.000,7.334,33.726,3.0,0.2,1.6,0.2,3.0,0.2,1.4,0.1,Buesseler et al. 2012 PNAS
416,KOK 11-08,6/14/11,12:03,300,299.7,37.496,142.000,4.779,33.585,1.9,0.2,bd,,1.9,0.2,bd,,Buesseler et al. 2012 PNAS
417,KOK 11-08,6/14/11,12:03,500,500.5,37.496,142.000,5.540,34.041,1.1,0.1,bd,,1.1,0.1,bd,,Buesseler et al. 2012 PNAS
420,KOK 11-08,6/14/11,4:42,surf,1,37.496,142.000,3.977,34.138,822,18,834,11,816.4,17.5,757.5,9.9,Buesseler et al. 2012 PNAS
421,KOK 11-08,6/14/11,14:35,surf,1,37.733,142.026,17.809,33.469,475,12,476,9,471.5,11.8,432.2,8.3,Buesseler et al. 2012 PNAS
422,KOK 11-08,6/14/11,16:47,surf,1,38.001,141.997,19.576,34.519,43,1,42,1,42.9,1.4,37.9,1.1,Buesseler et al. 2012 PNAS
428,KOK 11-08,6/14/11,16:44,20,19.9,38.001,141.997,15.164,34.534,196,5,196,4,193.6,4.8,167.6,3.3,Buesseler et al. 2012 PNAS
429,KOK 11-08,6/14/11,16:44,50,50.5,38.001,141.997,12.116,34.059,16,1,15,1,16.2,0.7,13.2,0.7,Buesseler et al. 2012 PNAS
430,KOK 11-08,6/14/11,16:44,100,99.4,38.001,141.997,10.741,34.148,43,1,41,1,42.4,1.1,35.3,0.7,Buesseler et al. 2012 PNAS
435,KOK 11-08,6/14/11,20:55,surf,1,37.757,141.708,17.474,32.938,379,11,403,9,376.7,10.5,362.1,8.4,Buesseler et al. 2012 PNAS
436,KOK 11-08,6/15/11,0:25,surf,1,37.531,141.446,18.428,33.369,582,14,595,10,577.9,13.8,533.7,9.2,Buesseler et al. 2012 PNAS
442,KOK 11-08,6/15/11,4:09,10,15.6,37.531,141.446,14.467,34.032,193,5,200,4,191.1,4.7,176.7,3.3,Buesseler et al. 2012 PNAS
443,KOK 11-08,6/15/11,4:09,20,21.3,37.531,141.446,14.441,34.280,202,7,216,6,200.7,6.5,191.0,5.5,Buesseler et al. 2012 PNAS
444,KOK 11-08,6/15/11,4:09,50,55.3,37.531,141.446,11.497,33.931,117,3,125,2,115.9,2.5,110.6,1.5,Buesseler et al. 2012 PNAS
445,KOK 11-08,6/15/11,4:09,90,95.7,37.531,141.446,9.390,33.810,76,2,74,2,75.8,2.0,65.9,1.5,Buesseler et al. 2012 PNAS
450,KOK 11-08,6/15/11,11:00,100,99.7,37.531,141.446,9.755,33.929,78,2,82,2,77.8,2.0,72.6,1.5,Buesseler et al. 2012 PNAS
451,KOK 11-08,6/15/11,11:00,120,124.4,37.531,141.446,8.976,33.886,41,1,40,1,40.2,1.3,35.5,1.1,Buesseler et al. 2012 PNAS
474,KOK 11-08,6/15/11,14:20,surf,1,37.333,141.424,16.521,33.249,749,19,773,16,743.7,19.1,702.0,14.2,Buesseler et al. 2012 PNAS
